#{"t_start": 1783884472.7118273, "env_id": "LunarLander-v3"}
r,l,t
83.446347,1000,460.493088
151.618459,795,461.1349
86.654147,1000,463.512902
-41.95665,489,463.848505
176.916324,503,464.247833
85.757415,1000,466.648265
92.854432,1000,467.481351
174.923206,559,467.938873
60.717829,1000,470.494264
177.428376,455,470.857641
180.218338,621,471.36598
121.941277,1000,473.787378
167.715511,831,474.508644
168.263879,464,476.313069
184.593367,547,476.75069
177.514221,483,477.145297
88.17113,1000,479.702037
160.59711,425,480.057728
66.634697,1000,480.894866
78.269134,1000,483.172142
168.502656,396,483.488754
92.373796,1000,484.371944
160.787748,390,486.217988
161.278701,624,486.765544
74.827541,1000,487.592317
192.97922,467,493.285135
-87.943073,516,493.662635
83.488754,1000,494.478345
84.229989,1000,497.03105
84.266584,1000,497.848006
73.608167,1000,500.201687
157.963487,584,500.664686
29.181137,1000,502.975967
-85.391226,621,503.438761
98.032089,1000,504.207854
-91.342586,604,506.187913
-70.117243,1000,506.994782
96.271736,1000,509.577392
-77.17121,1000,510.379022
105.46525,1000,512.763858
-76.170917,1000,513.559637
-67.074669,1000,515.870334
132.302174,643,516.37852
46.480532,1000,517.156245
167.72703,460,519.101736
-56.37681,1000,519.88614
-95.495123,612,520.346705
-41.063074,1000,522.860413
84.60128,1000,527.54608
199.669113,489,529.412946
-82.319137,1000,530.244135
-108.447654,1000,532.606289
115.526285,1000,533.443077
94.838228,1000,535.569969
86.495449,1000,536.432263
158.390128,770,538.742591
92.391435,1000,539.63137
176.597058,453,540.008133
91.634903,1000,542.449628
171.110249,471,542.84335
75.815894,1000,543.672909
162.827121,628,545.688549
-81.917799,1000,546.557411
-65.677473,1000,548.735166
54.66981,1000,549.549013
94.104398,1000,551.950505
184.464694,467,552.355487
-82.495704,1000,553.182532
122.202119,721,555.387195
-170.571004,746,555.990344
148.119634,753,556.596035
-113.055625,825,558.640632
109.652003,1000,563.504566
